最大何倍株	オーナー株%	売上成長率_平均	経常利益率_平均	想定時価総額	売買回転率
4.4	36.73	13.3	6.7	2262960000.0	7.62
2.4	4.63	-12.3		48348004000.0	0.91
4.4	91.81	13.6	3.8	4138880000.0	20.639
1.7	14.36	39.0	9.0	23292500000.0	1.613
2.9	53.7	20.6	5.4	3439070000.0	127.42
3.8	16.83	1771.7	26.4	505911576000.0	1.572
-0.1	2.7	18.8	5.8	64493524800.0	0.038
	80.69	16.8	2.7	3368250000.0	-0.0
	90.98	19.1	3.1	680960000.0	-0.0
3.4	44.37	14.9	10.3	2040000000.0	22.874
4.2	76.6	100.8	8.2	4373787870.0	4.51
5.9	82.52	18.1	6.5	4139342200.0	15.455
3.4	5.33	31.1	2.8	1130692000.0	5.434
2.5	69.64	9.6	8.5	5359200000.0	36.282
4.5	70.73	11.9	3.8	2568540000.0	2.527
1.8	13.6	-8.0	19.5	12303400000.0	3.594
1.9					
	71.24	51.6	6.3	6783000000.0	-0.0
2.6	93.36	28.7	5.9	6150000000.0	26.617
3.6	94.13	28.3	8.1	6014400000.0	11.84
1.6	12.03	39.1	15.5	5836800000.0	22.795
2.9	95.46	2.2	10.7	1718681100.0	22.585
	92.79	114.4	17.0	22833000000.0	-0.0
6.5	41.71	843.5	927.5	24311602000.0	1.891
2.6	27.410000000000004	44.0		10852338250.0	1.926
2.3	84.27	9957.7	3.9	75302010000.0	1.202
6.7	44.510000000000005	184.2	28.8	9070880000.0	30.95
7.4	40.1	9.8	7.0	5340060000.0	10.488
2.8	64.61	91.3	45.4	21596510000.0	8.366
4.4	53.91	25.2	6.7	3098910000.0	26.456
2.4					
3.0	72.24000000000001	216.7	8.5	4023976000.0	3.669
2.4	62.1	63.6	4.4	4646460000.0	6.566
4.6	44.61	297.2	11.6	11283760000.0	8.846
2.3	76.67	27.2	17.4	3884400000.0	2.619
4.1	60.93	21.9	8.4	9014304000.0	4.612
3.6	59.61	11.0	3.8	13548550000.0	1.3
2.5	73.56	46.4	18.6	5883840000.0	7.322
2.2	87.83	33.4	11.1	2973109260.0	31.488
	66.89	9.2	3.0	10033200000.0	-0.0
1.7	37.21	1873.0	151.1	14190000000.0	2.32
2.3	80.00999999999999	483.3	12.2	3176960000.0	12.393
1.9	69.8	48.1	4.1	4609800000.0	10.491
1.9	54.04	52.6	1.6	4976901000.0	7.506
4.7	60.43000000000001	12.7	5.3	1555000000.0	10.677
3.2	82.72999999999999	25.7	2.7	2608340000.0	5.141
2.7	78.8	8.7	5.1	1865760000.0	3.371
4.2	25.3	-13.3	3.1	2612680000.0	87.424
3.2	80.24	17.4	0.5	2655000000.0	11.852
	100.0	3.8	4.4	94806400000.0	-0.0
2.8	8.68	1032.9	69.8	9341251920.0	8.581
2.6	91.84	51.8	16.8	3060000000.0	69.913
	47.55	24.5	3.3	6839720000.0	-0.0
2.5	78.5	49.9	41.5	10347766000.0	5.798
6.9	3.54	-32.8		107089788000.0	1.521
					
2.7	53.650000000000006	30.4	15.9	28107830000.0	0.567
5.8	42.3	9.7	3.1	2159856300.0	14.629
3.7	55.02	11.7	12.3	3223697520.0	2.965
4.1	71.40999999999998	28.4	8.9	27859700000.0	16.811
2.8	2.9	963.6		15128244540.0	20.759
7.2	97.17	17.0	14.1	7720000000.0	8.507
2.1	100.0	5.8	7.2	16200000000.0	1.184
5.9	85.87	-16.8		79175305000.0	2.123
1.9	76.66	5.3	6.0	2808000000.0	1.864
	65.31	54.8	1.6	2653500000.0	-0.0
2.7	61.67	16.9	2.1	5994000000.0	2.99
3.4	42.06	18.6	3.7	1519496000.0	38.477
1.7	11.98	20.7	6.4	10700144000.0	9.933
26.3	92.37	35.7	6.9	5077400000.0	29.498
1.6	83.75	97.1	13.5	5175000000.0	1.388
2.2	60.43000000000001	41.5	10.7	8661432000.0	16.365
2.5	8.41	2018.7	21.0	2928000000.0	58.213
2.1	54.78	10.3	4.6	3394500000.0	8.444
5.4	9.54	15.0	31.6	8582797600.0	4.258
2.9	90.59	18.8	1.4	1859900000.0	6.314
24.6	28.7	130.3	17.4	12013056000.0	22.423
	89.67	11.3	5.0	720000000.0	-0.0
1.5	69.00999999999999	18.5	6.3	2926000000.0	1.624
2.2	85.39	20.6	5.7	1381764000.0	13.214
					
3.4	42.81	25.4	2.0	1898890000.0	17.986
3.0	84.4	26.1	10.3	3583964000.0	38.533
	67.72			17324020000.0	-0.0
3.6	10.27			10119600000.0	3.558
3.1	80.11	3384.5	11.1	23728880000.0	1.926
3.3	45.93	79.0	28.5	16641867500.0	0.741
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
3.0	77.91	21.2	2.0	2774000000.0	4.693
